"weekday","Age","Gender","Alcohol_Results","Drug_Involvement","Atmospheric_Condition","Roadway","Fatality"
1,66,"Male",,"Not Reported","Rain","Urban-Principal Arterial-Interstate","no_fatal"
1,40,"Female",,"Not Reported","Clear","Urban-Minor Arterial","no_fatal"
1,68,"Female",,"No","Clear","Urban-Principal Arterial-Other Freeways or Expressways","no_fatal"
6,51,"Male",,"Not Reported","Clear","Rural-Major Collector","no_fatal"
5,25,"Male","0.0","Not Reported","Clear","Rural-Minor Arterial","fatal"
7,23,"Female",,"Unknown","Clear","Urban-Other Principal Arterial","no_fatal"
5,73,"Male",,"No","Clear","Rural-Principal Arterial-Other","no_fatal"
4,52,"Male","0.0","No","Clear","Rural-Minor Arterial","no_fatal"
3,37,"Male",,"Not Reported","Cloudy","Rural-Minor Collector","no_fatal"
2,59,"Female",,"Not Reported","Clear","Rural-Local Road or Street","no_fatal"
1,72,"Male","0.0","No","Rain","Rural-Minor Collector","fatal"
7,62,"Male","0.26","Not Reported","Clear","Rural-Minor Arterial","fatal"
5,18,"Female","0.0","Unknown","Rain","Urban-Minor Arterial","fatal"
3,56,"Male","\N","Unknown","Clear","Rural-Minor Arterial","fatal"
5,33,"Male",,"Not Reported","Clear","Urban-Principal Arterial-Interstate","no_fatal"
6,33,"Female","0.0","Not Reported","Clear","Urban-Collector","no_fatal"
6,22,"Female",,"Not Reported","Clear","Rural-Principal Arterial-Other","no_fatal"
6,18,"Male",,"Not Reported","Clear","Urban-Minor Arterial","no_fatal"
7,21,"Male","0.06","Unknown","Clear","Rural-Minor Collector","fatal"
3,18,"Female",,"Not Reported","Clear","Urban-Other Principal Arterial","no_fatal"
4,24,"Male",,"Not Reported","Clear","Rural-Principal Arterial-Other","no_fatal"
6,23,"Male","0.16","No","Cloudy","Rural-Local Road or Street","fatal"
6,46,"Female","0.14","Not Reported","Clear","Urban-Other Principal Arterial","no_fatal"
7,61,"Male","0.0","No","Clear","Urban-Collector","fatal"
5,37,"Male",,"Not Reported","Clear","Rural-Local Road or Street","no_fatal"
1,69,"Male","0.0","No","Clear","Rural-Principal Arterial-Other","no_fatal"
4,23,"Female",,"No","Clear","Rural-Principal Arterial-Other","no_fatal"
3,34,"Male","0.0","No","Clear","Rural-Principal Arterial-Other","no_fatal"
1,61,"Female","0.0","No","Clear","Rural-Local Road or Street","fatal"
7,45,"Male","0.0","Unknown","Clear","Urban-Other Principal Arterial","fatal"
6,23,"Female",,"Not Reported","Clear","Urban-Other Principal Arterial","fatal"
6,39,"Male","0.1","Not Reported","Clear","Rural-Minor Arterial","fatal"
7,25,"Male",,"Not Reported","Clear","Rural-Local Road or Street","no_fatal"
2,16,"Male","0.0","No","Clear","Rural-Major Collector","no_fatal"
2,49,"Male","0.0","Not Reported","Cloudy","Urban-Local Road or Street","no_fatal"
2,79,"Male",,"No","Clear","Rural-Major Collector","no_fatal"
1,47,"Male","0.05","Not Reported","Clear","Rural-Minor Arterial","fatal"
2,,"Male",,"Not Reported","Clear","Urban-Principal Arterial-Other Freeways or Expressways","no_fatal"
2,82,"Female","\N","Not Reported","Clear","Rural-Minor Arterial","fatal"
7,7,"Male",,"Not Reported","Cloudy","Urban-Local Road or Street","no_fatal"
1,91,"Female","0.0","Unknown","Cloudy","Rural-Principal Arterial-Interstate","fatal"
3,17,"Male","0.0","No","Clear","Urban-Local Road or Street","no_fatal"
3,75,"Female","0.0","Not Reported","Cloudy","Rural-Local Road or Street","fatal"
3,23,"Female",,"Not Reported","Clear","Urban-Other Principal Arterial","no_fatal"
5,1,"Male",,"Not Reported","Clear","Rural-Principal Arterial-Interstate","no_fatal"
5,33,"Male","0.16","No","Cloudy","Rural-Major Collector","fatal"
1,41,"Female",,"No","Clear","Urban-Other Principal Arterial","no_fatal"
6,47,"Female",,"Not Reported","Clear","Rural-Principal Arterial-Other","no_fatal"
4,22,"Male","0.0","No","Cloudy","Rural-Major Collector","fatal"
7,16,"Female",,"Not Reported","Clear","Urban-Collector","no_fatal"
6,27,"Male",,"No","Clear","Urban-Other Principal Arterial","no_fatal"
6,50,"Female","0.33","Unknown","Clear","Urban-Collector","fatal"
5,21,"Male",,"Not Reported","Clear","Urban-Principal Arterial-Interstate","no_fatal"
6,50,"Female",,"Not Reported","Clear","Rural-Principal Arterial-Other","no_fatal"
5,27,"Female",,"No","Rain","Rural-Principal Arterial-Other","no_fatal"
5,22,"Male",,"Not Reported","Clear","Rural-Principal Arterial-Interstate","no_fatal"
7,47,"Male","0.0","No","Clear","Rural-Major Collector","no_fatal"
3,33,"Male","0.0","Unknown","Clear","Rural-Major Collector","fatal"
4,53,"Male",,"No","Clear","Rural-Principal Arterial-Other","no_fatal"
6,41,"Male","0.25","Unknown","Fog, Smog, Smoke","Rural-Major Collector","fatal"
3,32,"Male","0.0","Not Reported","Snow","Rural-Local Road or Street","no_fatal"
3,14,"Male",,"Not Reported","Clear","Rural-Principal Arterial-Other","no_fatal"
1,3,"Male",,"No","Clear","Rural-Minor Arterial","no_fatal"
5,15,"Female",,"Not Reported","Clear","Rural-Major Collector","no_fatal"
3,68,"Male",,"No","Cloudy","Urban-Minor Arterial","no_fatal"
7,21,"Male",,"No","Clear","Rural-Local Road or Street","no_fatal"
4,47,"Female","0.0","Not Reported","Clear","Rural-Principal Arterial-Other","no_fatal"
6,29,"Male","0.05","Not Reported","Clear","Urban-Collector","fatal"
5,6,"Female",,"No","Clear","Urban-Principal Arterial-Interstate","no_fatal"
4,45,"Male",,"No","Clear","Unknown","no_fatal"
3,38,"Female",,"Not Reported","Clear","Rural-Major Collector","no_fatal"
6,44,"Male",,"Not Reported","Clear","Urban-Other Principal Arterial","no_fatal"
6,3,"Male",,"No","Snow","Rural-Principal Arterial-Interstate","no_fatal"
3,12,"Female",,"Not Reported","Clear","Rural-Minor Arterial","no_fatal"
7,,"Unknown",,"Unknown","Clear","Urban-Collector","no_fatal"
5,53,"Male",,"No","Rain","Urban-Minor Arterial","no_fatal"
6,51,"Male",,"Not Reported","Clear","Rural-Principal Arterial-Other","no_fatal"
2,61,"Male",,"Not Reported","Clear","Urban-Minor Arterial","no_fatal"
1,37,"Female",,"No","Clear","Rural-Principal Arterial-Other","no_fatal"
7,56,"Male",,"No","Clear","Urban-Local Road or Street","fatal"
4,18,"Male",,"Not Reported","Sleet, Hail (Freezing Rain or Drizzle)","Urban-Other Principal Arterial","no_fatal"
4,13,"Male",,"Unknown","Clear","Urban-Minor Arterial","fatal"
3,23,"Female","0.25","Yes","Clear","Urban-Other Principal Arterial","no_fatal"
7,22,"Male",,"Not Reported","Cloudy","Rural-Principal Arterial-Other","no_fatal"
4,43,"Male","0.0","Yes","Clear","Urban-Local Road or Street","no_fatal"
1,28,"Female","0.0","No","Cloudy","Rural-Principal Arterial-Other","no_fatal"
5,1,"Male",,"Not Reported","Clear","Rural-Principal Arterial-Other","no_fatal"
4,23,"Male",,"No","Cloudy","Rural-Minor Collector","no_fatal"
2,55,"Male","0.0","No","Clear","Rural-Minor Arterial","no_fatal"
1,58,"Male","0.0","Yes","Clear","Urban-Local Road or Street","fatal"
1,33,"Female",,"Not Reported","Cloudy","Rural-Minor Arterial","no_fatal"
5,24,"Male",,"Not Reported","Clear","Urban-Other Principal Arterial","no_fatal"
3,8,"Female",,"Not Reported","Clear","Rural-Principal Arterial-Interstate","no_fatal"
1,62,"Male","0.11","No","Clear","Rural-Local Road or Street","fatal"
1,50,"Male",,"Not Reported","Clear","Urban-Minor Arterial","no_fatal"
6,66,"Male",,"Not Reported","Clear","Urban-Minor Arterial","no_fatal"
6,24,"Male","0.0","Not Reported","Clear","Urban-Minor Arterial","fatal"
7,56,"Female",,"Not Reported","Clear","Rural-Minor Arterial","no_fatal"
5,50,"Female",,"Not Reported","Clear","Urban-Other Principal Arterial","no_fatal"
4,89,"Female","0.0","No","Clear","Rural-Local Road or Street","fatal"
2,55,"Male","\N","Unknown","Not Reported","Rural-Major Collector","no_fatal"
5,22,"Male",,"Not Reported","Clear","Urban-Other Principal Arterial","no_fatal"
5,38,"Female",,"No","Clear","Rural-Principal Arterial-Other","fatal"
6,17,"Male",,"Not Reported","Clear","Rural-Principal Arterial-Other","no_fatal"
4,32,"Male",,"No","Rain","Urban-Other Principal Arterial","no_fatal"
3,39,"Male",,"No","Clear","Rural-Principal Arterial-Other","no_fatal"
1,86,"Male","0.0","Not Reported","Clear","Urban-Other Principal Arterial","fatal"
2,55,"Female",,"Yes","Clear","Urban-Minor Arterial","no_fatal"
3,12,"Male",,"Not Reported","Clear","Urban-Other Principal Arterial","no_fatal"
7,43,"Male","0.11","Not Reported","Fog, Smog, Smoke","Rural-Major Collector","fatal"
6,16,"Male",,"Unknown","Clear","Urban-Principal Arterial-Interstate","no_fatal"
6,22,"Female",,"Not Reported","Clear","Rural-Minor Collector","no_fatal"
4,40,"Female",,"No","Clear","Urban-Minor Arterial","no_fatal"
1,32,"Female",,"No","Cloudy","Rural-Principal Arterial-Interstate","no_fatal"
1,20,"Female","0.0","Not Reported","Clear","Urban-Other Principal Arterial","fatal"
2,64,"Male",,"Not Reported","Rain","Urban-Minor Arterial","no_fatal"
4,55,"Male","\N","Not Reported","Clear","Urban-Local Road or Street","fatal"
2,29,"Male","0.19","Not Reported","Clear","Rural-Principal Arterial-Other","fatal"
2,60,"Male",,"Not Reported","Clear","Rural-Major Collector","no_fatal"
4,22,"Male","0.17","Unknown","Clear","Urban-Other Principal Arterial","fatal"
3,25,"Male","0.0","Not Reported","Clear","Urban-Principal Arterial-Other Freeways or Expressways","no_fatal"
4,17,"Male","0.0","Unknown","Clear","Rural-Minor Collector","no_fatal"
6,22,"Male","0.18","No","Clear","Urban-Other Principal Arterial","fatal"
5,18,"Male","0.15","No","Clear","Rural-Major Collector","fatal"
6,43,"Male",,"No","Clear","Rural-Minor Arterial","no_fatal"
6,44,"Male",,"Not Reported","Clear","Rural-Principal Arterial-Other","fatal"
1,26,"Male",,"No","Clear","Urban-Local Road or Street","no_fatal"
2,33,"Male","0.21","Unknown","Cloudy","Urban-Other Principal Arterial","fatal"
6,28,"Male","0.0","No","Clear","Urban-Other Principal Arterial","fatal"
2,26,"Female",,"Not Reported","Clear","Rural-Minor Arterial","no_fatal"
3,59,"Male","0.24","No","Clear","Rural-Major Collector","fatal"
5,68,"Male",,"Not Reported","Clear","Rural-Principal Arterial-Other","no_fatal"
2,4,"Male",,"Not Reported","Sleet, Hail (Freezing Rain or Drizzle)","Urban-Minor Arterial","no_fatal"
2,23,"Male",,"Not Reported","Clear","Urban-Local Road or Street","fatal"
4,19,"Male",,"No","Cloudy","Rural-Principal Arterial-Interstate","no_fatal"
1,11,"Male",,"Not Reported","Clear","Rural-Principal Arterial-Interstate","no_fatal"
7,21,"Male","0.25","No","Cloudy","Rural-Minor Collector","fatal"
4,29,"Male","0.0","Unknown","Clear","Rural-Principal Arterial-Other","fatal"
3,51,"Male","0.0","No","Clear","Rural-Principal Arterial-Interstate","no_fatal"
4,51,"Female",,"Not Reported","Clear","Urban-Principal Arterial-Interstate","no_fatal"
5,24,"Male","0.1","Not Reported","Clear","Rural-Principal Arterial-Interstate","fatal"
3,52,"Female","0.2","Not Reported","Clear","Urban-Other Principal Arterial","fatal"
3,4,"Female",,"Not Reported","Cloudy","Rural-Minor Arterial","no_fatal"
4,27,"Male","0.0","Unknown","Clear","Rural-Local Road or Street","fatal"
7,64,"Female",,"Not Reported","Clear","Urban-Principal Arterial-Interstate","no_fatal"
6,40,"Male","0.21","No","Cloudy","Rural-Local Road or Street","fatal"
2,21,"Male",,"No","Clear","Rural-Local Road or Street","no_fatal"
7,22,"Female",,"No","Cloudy","Rural-Principal Arterial-Other","no_fatal"
5,18,"Male",,"Not Reported","Clear","Rural-Major Collector","no_fatal"
4,18,"Male",,"No","Clear","Rural-Minor Arterial","no_fatal"
5,32,"Male","0.2","No","Fog, Smog, Smoke","Rural-Minor Arterial","fatal"
7,13,"Female",,"Not Reported","Clear","Rural-Minor Collector","no_fatal"
4,16,"Female","0.17","Not Reported","Clear","Rural-Minor Arterial","fatal"
2,19,"Female",,"Not Reported","Clear","Rural-Major Collector","fatal"
1,20,"Male","0.0","Not Reported","Clear","Rural-Principal Arterial-Other","fatal"
4,44,"Male","0.19","No","Cloudy","Rural-Minor Arterial","fatal"
6,62,"Female",,"Not Reported","Clear","Urban-Principal Arterial-Other Freeways or Expressways","no_fatal"
2,36,"Male",,"No","Clear","Rural-Principal Arterial-Interstate","no_fatal"
1,43,"Male","0.13","Not Reported","Rain","Rural-Minor Collector","fatal"
3,19,"Male","0.26","Not Reported","Clear","Rural-Minor Arterial","fatal"
2,23,"Male",,"Not Reported","Clear","Urban-Minor Arterial","no_fatal"
6,28,"Male","0.24","Unknown","Clear","Urban-Principal Arterial-Interstate","fatal"
3,84,"Male","0.0","No","Clear","Rural-Major Collector","fatal"
1,51,"Male","\N","Unknown","Unknown","Urban-Collector","fatal"
5,20,"Male","0.14","No","Clear","Rural-Minor Collector","fatal"
1,23,"Female",,"Not Reported","Clear","Urban-Principal Arterial-Interstate","no_fatal"
2,20,"Female",,"Not Reported","Snow","Rural-Principal Arterial-Other","no_fatal"
7,15,"Male",,"Not Reported","Clear","Urban-Local Road or Street","no_fatal"
3,28,"Female","0.0","No","Clear","Urban-Collector","no_fatal"
7,77,"Female","0.0","No","Clear","Rural-Principal Arterial-Other","fatal"
6,63,"Male","0.0","No","Clear","Urban-Minor Arterial","no_fatal"
7,28,"Male","0.09","Not Reported","Clear","Rural-Unknown Rural","no_fatal"
4,49,"Female",,"Not Reported","Cloudy","Rural-Local Road or Street","no_fatal"
5,28,"Female","0.0","Unknown","Clear","Urban-Minor Arterial","fatal"
2,80,"Female","0.0","No","Rain","Urban-Other Principal Arterial","fatal"
7,45,"Male",,"Not Reported","Clear","Rural-Principal Arterial-Interstate","no_fatal"
5,12,"Female",,"Not Reported","Cloudy","Urban-Other Principal Arterial","no_fatal"
1,26,"Male","0.06","No","Cloudy","Urban-Other Principal Arterial","fatal"
5,46,"Male","0.0","Yes","Clear","Urban-Other Principal Arterial","fatal"
5,21,"Female",,"No","Clear","Urban-Principal Arterial-Other Freeways or Expressways","no_fatal"
6,54,"Male","0.15","No","Clear","Urban-Collector","no_fatal"
3,56,"Male",,"Not Reported","Clear","Rural-Major Collector","no_fatal"
4,22,"Male","0.0","Not Reported","Clear","Rural-Minor Collector","fatal"
6,22,"Female",,"Not Reported","Other","Rural-Principal Arterial-Interstate","no_fatal"
7,15,"Male",,"Not Reported","Clear","Rural-Unknown Rural","no_fatal"
1,37,"Male","\N","Not Reported","Clear","Urban-Unknown Urban","no_fatal"
7,70,"Female",,"Not Reported","Clear","Urban-Principal Arterial-Other Freeways or Expressways","no_fatal"
7,17,"Female",,"Not Reported","Clear","Urban-Minor Arterial","no_fatal"
7,28,"Female",,"No","Rain","Urban-Local Road or Street","no_fatal"
6,18,"Male",,"No","Cloudy","Rural-Principal Arterial-Other","no_fatal"
6,31,"Male",,"Not Reported","Snow","Urban-Other Principal Arterial","fatal"
1,56,"Female","0.0","No","Clear","Rural-Minor Arterial","fatal"
5,5,"Female",,"Not Reported","Clear","Rural-Local Road or Street","no_fatal"
6,51,"Male",,"Not Reported","Clear","Rural-Principal Arterial-Other","fatal"
3,33,"Male","0.26","Not Reported","Rain","Rural-Major Collector","fatal"
1,52,"Male",,"No","Cloudy","Rural-Principal Arterial-Interstate","no_fatal"
6,6,"Female",,"No","Clear","Rural-Major Collector","fatal"
6,77,"Female","0.0","No","Clear","Urban-Principal Arterial-Interstate","fatal"
6,14,"Male","0.0","Not Reported","Cloudy","Rural-Local Road or Street","no_fatal"
5,16,"Female",,"Not Reported","Clear","Urban-Principal Arterial-Interstate","no_fatal"
7,48,"Male",,"No","Clear","Urban-Minor Arterial","no_fatal"
6,42,"Female",,"Not Reported","Clear","Urban-Principal Arterial-Interstate","no_fatal"
6,68,"Male",,"Not Reported","Clear","Rural-Minor Collector","no_fatal"
5,64,"Male","0.0","No","Clear","Rural-Principal Arterial-Other","no_fatal"
6,20,"Female","\N","Not Reported","Cloudy","Rural-Local Road or Street","fatal"
7,14,"Female",,"Not Reported","Clear","Rural-Minor Arterial","no_fatal"
2,91,"Female","0.0","Not Reported","Rain","Urban-Other Principal Arterial","fatal"
7,33,"Female",,"No","Clear","Rural-Minor Collector","no_fatal"
2,29,"Female",,"Not Reported","Rain","Urban-Principal Arterial-Interstate","no_fatal"
2,22,"Female",,"No","Snow","Urban-Principal Arterial-Interstate","no_fatal"
2,55,"Male","0.15","Not Reported","Clear","Urban-Local Road or Street","fatal"
6,36,"Female",,"No","Clear","Urban-Principal Arterial-Interstate","no_fatal"
3,16,"Female",,"No","Clear","Rural-Principal Arterial-Other","no_fatal"
3,47,"Female",,"Not Reported","Clear","Rural-Principal Arterial-Other","no_fatal"
2,17,"Male",,"No","Rain","Urban-Other Principal Arterial","no_fatal"
5,38,"Female",,"Not Reported","Clear","Rural-Principal Arterial-Interstate","no_fatal"
1,91,"Female","0.0","Not Reported","Clear","Urban-Other Principal Arterial","fatal"
4,27,"Male",,"No","Clear","Urban-Other Principal Arterial","no_fatal"
7,27,"Female","0.0","No","Clear","Urban-Local Road or Street","no_fatal"
6,9,"Male",,"Not Reported","Snow","Rural-Principal Arterial-Interstate","no_fatal"
3,36,"Female",,"Not Reported","Clear","Urban-Other Principal Arterial","no_fatal"
5,75,"Female",,"Not Reported","Cloudy","Rural-Major Collector","no_fatal"
5,49,"Female",,"No","Clear","Urban-Minor Arterial","no_fatal"
7,28,"Male","0.11","Not Reported","Cloudy","Urban-Principal Arterial-Interstate","no_fatal"
6,57,"Female",,"Not Reported","Clear","Rural-Principal Arterial-Interstate","no_fatal"
6,34,"Male",,"No","Clear","Rural-Principal Arterial-Other","no_fatal"
3,56,"Male",,"Not Reported","Clear","Urban-Collector","no_fatal"
5,23,"Male",,"No","Clear","Urban-Local Road or Street","no_fatal"
2,62,"Male",,"No","Clear","Urban-Other Principal Arterial","fatal"
6,33,"Male","0.2","Not Reported","Clear","Rural-Local Road or Street","no_fatal"
6,28,"Male","0.22","Not Reported","Clear","Rural-Local Road or Street","fatal"
5,21,"Male",,"No","Clear","Rural-Major Collector","no_fatal"
3,45,"Male","\N","No","Clear","Rural-Principal Arterial-Interstate","no_fatal"
7,40,"Male",,"No","Clear","Urban-Minor Arterial","no_fatal"
3,40,"Male",,"Not Reported","Clear","Urban-Principal Arterial-Other Freeways or Expressways","no_fatal"
4,18,"Male",,"No","Clear","Urban-Collector","no_fatal"
2,27,"Female",,"Not Reported","Clear","Urban-Other Principal Arterial","no_fatal"
6,20,"Male",,"No","Rain","Urban-Principal Arterial-Interstate","no_fatal"
6,21,"Male",,"Not Reported","Clear","Urban-Collector","no_fatal"
6,40,"Male","0.0","Unknown","Clear","Urban-Principal Arterial-Interstate","fatal"
5,38,"Male","0.0","No","Clear","Urban-Principal Arterial-Interstate","no_fatal"
5,54,"Male","0.0","Yes","Clear","Rural-Major Collector","fatal"
5,29,"Female","0.14","No","Clear","Rural-Major Collector","no_fatal"
7,21,"Male","0.02","Yes","Clear","Rural-Principal Arterial-Interstate","fatal"
4,12,"Female",,"Not Reported","Clear","Rural-Principal Arterial-Other","no_fatal"
5,,"Unknown",,"Not Reported","Clear","Rural-Local Road or Street","no_fatal"
3,16,"Male","0.0","Not Reported","Clear","Rural-Principal Arterial-Other","no_fatal"
2,20,"Male","0.0","Unknown","Clear","Urban-Other Principal Arterial","no_fatal"
6,19,"Male","0.1","Not Reported","Cloudy","Rural-Local Road or Street","no_fatal"
4,55,"Female",,"No","Clear","Rural-Local Road or Street","no_fatal"
7,19,"Male",,"Not Reported","Cloudy","Rural-Principal Arterial-Other","no_fatal"
5,21,"Female",,"Not Reported","Clear","Urban-Other Principal Arterial","no_fatal"
6,22,"Female",,"No","Clear","Urban-Collector","no_fatal"
6,11,"Female",,"Not Reported","Clear","Urban-Other Principal Arterial","no_fatal"
1,49,"Male","0.17","No","Clear","Rural-Minor Collector","fatal"
2,23,"Male",,"Not Reported","Clear","Rural-Major Collector","no_fatal"
4,20,"Female",,"No","Cloudy","Rural-Principal Arterial-Interstate","no_fatal"
3,44,"Female","0.0","Not Reported","Cloudy","Urban-Minor Arterial","no_fatal"
7,42,"Male",,"Not Reported","Clear","Rural-Principal Arterial-Other","no_fatal"
5,53,"Male",,"No","Cloudy","Rural-Principal Arterial-Interstate","no_fatal"
7,22,"Male",,"Not Reported","Cloudy","Rural-Principal Arterial-Other","no_fatal"
3,17,"Female",,"Not Reported","Clear","Rural-Principal Arterial-Interstate","no_fatal"
5,62,"Male",,"Not Reported","Clear","Rural-Minor Arterial","no_fatal"
6,86,"Male","0.0","Not Reported","Clear","\N","fatal"
1,60,"Female",,"Not Reported","Clear","Rural-Principal Arterial-Other","no_fatal"
5,5,"Male",,"No","Clear","Rural-Major Collector","no_fatal"
5,20,"Female","\N","Unknown","Clear","Urban-Other Principal Arterial","fatal"
7,49,"Male","0.21","Not Reported","Cloudy","Rural-Major Collector","fatal"
1,93,"Male","0.0","No","Clear","Urban-Other Principal Arterial","fatal"
6,64,"Male","0.0","Not Reported","Clear","Rural-Major Collector","fatal"
5,65,"Male",,"No","Clear","Rural-Principal Arterial-Other","no_fatal"
4,18,"Female","0.0","Unknown","Clear","Rural-Principal Arterial-Interstate","fatal"
7,59,"Female",,"Not Reported","Clear","Rural-Minor Arterial","no_fatal"
1,24,"Female","0.0","Not Reported","Clear","Urban-Other Principal Arterial","no_fatal"
2,56,"Male","0.06","Unknown","Clear","Rural-Principal Arterial-Other","fatal"
3,63,"Male","0.0","No","Clear","Rural-Major Collector","fatal"
6,74,"Female","0.0","No","Clear","Rural-Major Collector","no_fatal"
1,28,"Male",,"Not Reported","Clear","Rural-Minor Arterial","fatal"
5,50,"Male","0.0","Unknown","Cloudy","Rural-Principal Arterial-Other","no_fatal"
2,53,"Male","0.13","No","Clear","Urban-Minor Arterial","fatal"
6,5,"Male",,"Not Reported","Clear","Urban-Principal Arterial-Other Freeways or Expressways","no_fatal"
3,36,"Female","0.0","Yes","Clear","Rural-Principal Arterial-Other","no_fatal"
7,40,"Female",,"No","Cloudy","Urban-Other Principal Arterial","no_fatal"
1,56,"Male",,"No","Cloudy","Urban-Principal Arterial-Interstate","no_fatal"
5,58,"Male","0.0","Unknown","Cloudy","Rural-Principal Arterial-Other","fatal"
7,23,"Male",,"No","Rain","Rural-Principal Arterial-Other","no_fatal"
